,(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters,scores,anomaly,warning
83,100,0,3.69,15.83,1.08,1,0,0,0.235715207,0,No issues detected
84,100,0,4.21,1,1,1,0,0,0.235306684,0,No issues detected
85,100,0,3.2,1,1,1,0,0,0.234490532,0,No issues detected
86,100,0,1,0.14,1,1,0,0,0.235544643,0,No issues detected
87,100,5,5.63,41,1.02,0.88,0,0,0.22535071,0,No issues detected
88,100,0,2.04,10.67,1,1,0,0,0.234792948,0,No issues detected
89,100,0,3.77,1.29,1.63,2.33,0,0,0.211249647,0,No issues detected
90,100,0,1.46,5,0.97,1,0,0,0.233665411,0,No issues detected
91,100,0,2,16,1,1,0,0,0.235352308,0,No issues detected
92,100,0,32.6,58.55,0.85,0.79,0,0,0.171569065,0,No issues detected
93,100,39,0.31,20,1,-2,0,0,0.107264706,0,No issues detected
94,100,8,4.07,40.27,1.05,1.1,0,0,0.222117936,0,No issues detected
95,100,1,6.04,44.41,1.09,1.06,0,0,0.223964421,0,No issues detected
96,100,0,6.63,42.5,1,1,0,0,0.230351699,0,No issues detected
97,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
98,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
99,100,0,0.12,1,1,1,1,0,0.235618525,0,No issues detected
100,100,0,39.88,59.36,0.61,0.69,0,0,0.160410705,0,No issues detected
101,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
102,100,0,1.87,30,1.19,1,0,0,0.234268933,0,No issues detected
103,100,0,0.33,1,1,1,0,0,0.234998342,0,No issues detected
104,100,0,0.33,1,1,1,0,0,0.234998342,0,No issues detected
105,100,0,2.2,1,1,1,0,0,0.23533522,0,No issues detected
106,100,0,5.05,5.05,1,1,0,0,0.235096032,0,No issues detected
107,100,1,5.17,41.86,1.17,1,0,0,0.229912852,0,No issues detected
108,100,0,2.68,1,1,1,0,0,0.234372314,0,No issues detected
109,54.22,4,0.66,0.65,-1.09,-1.12,33,0,-0.06954821,1,No issues detected
110,100,1,5.03,392.25,1.12,-4,0,3,0.013587029,0,No issues detected
111,100,0,2.89,8,0.93,1,0,0,0.233016541,0,No issues detected
112,100,0,2.32,1,1,1,0,0,0.23533522,0,No issues detected
113,100,0,4,129,1,1,0,3,0.191320892,0,No issues detected
114,100,0,3.83,129,1,1,0,3,0.191241827,0,No issues detected
115,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
116,100,0,2.78,2.78,1,1,0,0,0.234081165,0,No issues detected
117,100,0,4.78,15.2,1,1,0,0,0.233951906,0,No issues detected
